Título,Ubicación,Precio,Area
Ph En Alquiler 3 Amb - Victoria Entre Avenidas,"Guido Spano 900, Victoria, San Fernando, Bs.as. G.b.a. Norte",$90.000,59 m² cubiertos
Departamento - Punta Chica,"General Arias Al 3663 Depto 305, Punta Chica, San Fernando, Bs.as. G.b.a. Norte",U$S1.500,90 m² cubiertos
Departamento - Punta Chica,"Arias Al 3500, Punta Chica, San Fernando, Bs.as. G.b.a. Norte",U$S1.500,90 m² cubiertos
Departamento 3 Amb. - Victoria - San Fernando,"Simon De Iriondo Al 1300, Victoria, San Fernando, Bs.as. G.b.a. Norte",$80.000,49 m² cubiertos
"P. H. Planta Baja Fondo 3 Ambientes. Miguel Cané N° 1425, San Fernando.","Miguel Cané 1425, San Fernando, Provincia De Buenos Aires, Argentina, San Fernando, Bs.as. G.b.a. Norte",$68.000,60 m² cubiertos
Alquiler Dto 3 Ambientes San Fernando,"Las Heras Al 1200, San Fernando, Bs.as. G.b.a. Norte",$85.000,60 m² cubiertos
Oficina - San Fernando,"Constitución Al 1300, San Fernando, Bs.as. G.b.a. Norte",$50.000,60 m² cubiertos
"Departamento 3 Ambientes En Alquiler, San Fernando","Av. Pte. Perón Al 800, San Fernando, Bs.as. G.b.a. Norte",$88.000,60 m² cubiertos
Casa En Alquiler En Victoria,"Pasteur 1100, Victoria, San Fernando, Bs.as. G.b.a. Norte",$90.000,70 m² cubiertos
Alquiler,"Don Francisco  Al 2700, Buena Vista, San Fernando, Bs.as. G.b.a. Norte",U$S800,68 m² cubiertos
Departamento - Quartier - Alquiler,"Dr. Rene Favaloro 3300, San Fernando, Bs.as. G.b.a. Norte",U$S1.300,112 m² cubiertos
Alquiler,"Don Francisco  Al 2700, Buena Vista, San Fernando, Bs.as. G.b.a. Norte",$240.000,68 m² cubiertos
"Depto En Victoria, Don Orione 1095 2 C","Don Orione 1095, Victoria, Provincia De Buenos Aires, Argentina, Victoria, San Fernando, Bs.as. G.b.a. Norte",$78.000,65 m² cubiertos
"Chalet 3 Amb. Con Cochera. Kennedy 1005, Victoria.","J. F. Kennedy 1005, Victoria, Provincia De Buenos Aires, Argentina, Victoria, San Fernando, Bs.as. G.b.a. Norte",$125.000,100 m² cubiertos
Espectacular Casa En San Fernando,"Necochea  1400, San Fernando, Bs.as. G.b.a. Norte",$150.000,120 m² cubiertos
Casa 3 Ambientes Con Jardin Y Quincho Con Parrilla,"Ayacucho 759, San Fernando, Provincia De Buenos Aires, Argentina, San Fernando, Bs.as. G.b.a. Norte",$90.000,70 m² cubiertos
